KODE|NAMA|
001|TEKNOLOGI INFORMASI DAN KOMUNIKASI
002|PARIWISATA
003|BISNIS DAN MANAJEMEN
004|TEKNOLOGI DAN REKAYASA
005|PERIKANAN DAN KELAUTAN
006|KESEHATAN
007|AGROBISNIS DAN AGROTEKNOLOGI
008|SENI RUPA DAN PRAKARYA
009|KESEHATAN
010|SENI PERTUNJUKAN
